left_inside_boundary|right_inside_boundary|left_road_boundary|right_road_boundary|left_lane_marking|right_lane_marking
46.3996229825,11.298583453|46.3996053848,11.298572743|46.3996794804,11.2986202684|46.3995484237,11.2985359277|46.3996479898,11.2986001872|46.3995771358,11.2985540007
46.3995229827,11.298519453|46.3995086267,11.2985060655|46.3995822594,11.298555599|46.3994521286,11.2984679115|46.3995507687,11.2985348485|46.3994803776,11.2984873232
46.3994214461,11.2984551223|46.3994084793,11.2984424043|46.399481649,11.2984919378|46.3993519811,11.2984042502|46.3994506214,11.2984711872|46.3993802302,11.2984229925
46.3993229094,11.2983911223|46.3993076271,11.2983770655|46.3993812601,11.298426599|46.3992511288,11.2983389115|46.3993497693,11.2984058485|46.399279378,11.2983583232
46.3992113728,11.2983181223|46.3991970166,11.2983054043|46.3992701867,11.2983549378|46.3991405183,11.2982665808|46.3992391589,11.2983335178|46.3991687675,11.2982859925
46.3991098362,11.2982527917|46.3990973324,11.298240743|46.3991705026,11.2982902765|46.3990403708,11.2982025889|46.3991390116,11.2982688566|46.3990690831,11.2982213313
46.3990142995,11.2981904611|46.3989980909,11.2981797511|46.3990717243,11.2982272765|46.3989406661,11.2981429358|46.3990402333,11.2982071954|46.3989693785,11.2981610088
46.398914226,11.2981234611|46.3988975542,11.2981127511|46.3989711878,11.2981609459|46.3988401293,11.2980759358|46.3989396967,11.2981401953|46.3988688418,11.2980946782
46.3988152262,11.2980584611|46.3987985544,11.2980477511|46.3988721881,11.2980959459|46.3987411294,11.2980109358|46.398840697,11.2980751953|46.3987698419,11.2980296782
46.3987034809,11.2979957999|46.3986914401,11.2979850899|46.3987664632,11.2980292684|46.3986335519,11.2979516215|46.3987345089,11.298010526|46.3986622645,11.2979683557
46.3986352267,11.2979394611|46.3986185548,11.2979287511|46.3986921888,11.2979769459|46.3985611296,11.2978919358|46.3986606975,11.2979561953|46.3985898422,11.2979106782
46.3985357638,11.2978744611|46.3985190919,11.2978637511|46.398592726,11.2979112765|46.3984616666,11.2978269358|46.3985612347,11.2978911953|46.3984903793,11.2978450088
46.3984338378,11.2978077917|46.3984171659,11.2977970818|46.3984908001,11.2978446071|46.3983602036,11.2977602664|46.3984593088,11.297824526|46.3983884532,11.2977790088
46.398331207,11.2977434611|46.3983191661,11.2977320818|46.3983928005,11.2977796071|46.3982622038,11.2976952664|46.3983613091,11.297759526|46.3982904534,11.2977140088
